12345678,Why is the campsite address so far away? Is there a car for pick-up and drop off,null,LE51,null,null,12345681,null,null,false
26347455,wzt is going to die,null,LE51,null,null,12345681,null,null,false
92045212,where is wzt,null,LE51,null,null,12345681,null,null,false
01537723,null,null,null,null,KIM,18344490,null,nihao,false
30111893,null,null,null,null,KIM,18344490,null,isOK,false
70640056,teest77777,null,LE51,null,null,18344490,null,isOK,false
47346121,null,null,null,LE51,KIM,18344490,Extend the registration time for the camp,null,true
21531471,null,null,null,LE51,null,18344490,good night,null,true
74220224,null,null,null,LE51,null,18344490,good mmmm,null,false
02661232,null,null,null,LE51,null,18344490,ggggggggg,null,false
